,Ciudad,Condicion_laboral,Clase_edad,Usa_surgelados,Usa_dulces_surgelados,Tipo_de_crema,Tipo_de_pastel,Juicio_pastel,Compraria,Juicio_crema
1,1,1,2,2,2,1,2,4,3,4
4,1,2,2,2,1,1,2,5,4,5
5,1,2,2,2,1,1,2,5,5,4
6,1,2,3,2,1,1,2,6,5,5
7,1,1,3,1,2,1,2,4,3,4
8,2,2,3,1,1,1,2,6,4,6
9,2,1,3,2,1,1,2,6,4,5
10,2,1,2,2,1,1,2,5,4,5
11,1,1,3,2,1,1,2,4,4,3
12,1,1,3,2,2,4,2,5,4,5
13,1,2,2,2,1,1,2,5,4,6
14,1,2,2,2,1,1,2,5,4,4
15,1,1,3,2,2,4,2,5,4,4
16,1,1,1,1,1,1,2,5,4,6
17,1,1,2,2,2,3,2,5,3,4
18,1,2,1,1,2,4,2,5,3,6
19,1,1,1,2,1,3,2,4,2,5
20,1,2,2,2,1,1,2,5,3,5
21,1,2,3,2,2,1,2,2,1,2
22,1,2,2,2,1,1,2,4,4,3
23,1,1,3,2,2,4,2,5,4,6
24,1,1,1,2,2,1,2,6,4,6
25,2,1,2,2,1,3,2,7,5,7
26,2,2,2,2,2,2,2,6,4,5
27,2,1,3,2,2,4,2,6,4,6
28,2,1,3,2,2,4,2,6,4,6
29,2,1,3,2,2,4,2,5,3,5
30,2,1,3,2,2,2,2,5,4,4
31,2,1,2,1,2,2,2,4,4,3
32,2,2,2,2,2,2,2,4,3,5
33,2,1,3,2,2,2,2,5,5,5
34,2,2,3,2,2,1,2,6,4,6
35,2,2,1,2,2,1,2,4,4,5
36,2,1,3,2,2,1,2,3,1,4
37,2,1,3,1,2,1,2,6,4,5
38,2,1,2,1,2,1,2,5,4,5
39,2,2,3,2,2,2,2,4,3,4
40,2,1,3,2,2,1,2,5,4,5
41,2,1,3,2,2,1,2,5,4,5
42,2,2,3,2,2,2,2,5,4,7
43,2,2,2,2,1,1,2,4,1,4
44,2,1,3,1,2,1,2,4,2,5
45,2,2,2,2,2,2,2,5,3,6
46,1,1,2,2,2,4,2,5,3,5
47,1,1,2,2,2,1,2,5,4,4
